id,name_1,img_route_1,cloth_category_1,cloth_subcategory_1,patron_1,sleeve_1,skirt_1,neckline_1,material_1,fit_1,isCold_1,isRainy_1,isWet_1,isTempered_1,isHot_1,nota_1,name_2,img_route_2,cloth_category_2,cloth_subcategory_2,patron_2,sleeve_2,skirt_2,neckline_2,material_2,fit_2,isCold_2,isRainy_2,isWet_2,isTempered_2,isHot_2,nota_2,name_3,img_route_3,cloth_category_3,cloth_subcategory_3,patron_3,sleeve_3,skirt_3,neckline_3,material_3,fit_3,isCold_3,isRainy_3,isWet_3,isTempered_3,isHot_3,nota_3,name_4,img_route_4,cloth_category_4,cloth_subcategory_4,patron_4,sleeve_4,skirt_4,neckline_4,material_4,fit_4,isCold_4,isRainy_4,isWet_4,isTempered_4,isHot_4,nota_4,name_5,img_route_5,cloth_category_5,cloth_subcategory_5,patron_5,sleeve_5,skirt_5,neckline_5,material_5,fit_5,isCold_5,isRainy_5,isWet_5,isTempered_5,isHot_5,nota_5,name_6,img_route_6,cloth_category_6,cloth_subcategory_6,patron_6,sleeve_6,skirt_6,neckline_6,material_6,fit_6,isCold_6,isRainy_6,isWet_6,isTempered_6,isHot_6,nota_6
62,Scoop Neck Linen Tee,Scoop_Neck_Linen_Tee/img_00000029.jpg,1,6,3,2,3,1,3,3,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boina,hats/hat8.jpg,4,7,0,0,0,0,5,2,1,0,0,1,0,2,Converse,shoes/shoes13.jpg,5,11,0,0,0,0,4,3,1,0,0,1,1,5,Blue Jeans Acid Wash Shorts,Blue_Jeans_Acid_Wash_Shorts/img_00000042.jpg,6,4,2,3,3,4,1,1,0,0,0,1,1,5
63,Sheer Abstract Print Blouse,Sheer_Abstract_Print_Blouse/img_00000040.jpg,1,1,1,2,3,2,3,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hooded Cotton Canvas Anorak,Hooded_Cotton_Canvas_Anorak/img_00000085.jpg,3,1,6,1,3,1,3,3,1,1,1,0,0,2,Boina,hats/hat9.jpg,4,7,0,0,0,0,5,2,1,0,0,1,0,2,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,Slub Knit Sweatshorts,Slub_Knit_Sweatshorts/img_00000028.jpg,6,7,3,3,3,4,3,3,1,0,1,0,0,2
64,Ruffled Crepe Woven Blouse,Ruffled_Crepe_Woven_Blouse/img_00000028.jpg,1,1,6,3,3,2,3,3,0,0,0,0,1,1,Metallic Open-Knit Cardigan,Metallic_Open-Knit_Cardigan/img_00000046.jpg,2,2,3,1,3,2,6,3,0,0,0,1,0,5,Faux Leather Biker Jacket,Faux_Leather_Biker_Jacket/img_00000075.jpg,3,3,6,1,3,2,4,3,0,0,0,1,0,4,Gorro estilo safari,hats/hat3.jpg,4,3,6,0,0,0,0,2,0,0,0,0,1,2,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,High Waist- Quilted Moto Jeggings,High_Waist-_Quilted_Moto_Jeggings/img_00000047.jpg,6,9,6,3,3,4,1,1,0,0,0,1,0,3
65,Basic V-Neck Tee,Basic_V-Neck_Tee/img_00000001.jpg,1,6,6,1,3,2,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zip Collar Bomber,Zip_Collar_Bomber/img_00000096.jpg,3,2,6,1,3,1,3,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,Flat Front Denim Shorts,Flat_Front_Denim_Shorts/img_00000027.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
66,Faded Muscle Tee,Faded_Muscle_Tee/img_00000041.jpg,1,6,6,3,3,1,3,3,0,0,0,1,1,4,Single-Button Blazer,Single-Button_Blazer/img_00000158.jpg,2,1,6,1,3,2,3,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sombrero bucket,hats/hat4.jpg,4,2,7,0,0,0,0,2,0,0,0,1,1,4,Zapatos formales,shoes/new_shoes10.jpg,5,9,0,0,0,0,4,1,1,0,0,1,1,3,Trouser Shorts,Trouser_Shorts/img_00000024.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,3
67,Bandana Print Muscle Tee,Bandana_Print_Muscle_Tee/img_00000020.jpg,1,6,1,2,3,1,3,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drawstring-Collar Jacket,Drawstring-Collar_Jacket/img_00000023.jpg,3,3,1,1,3,2,3,3,1,1,0,0,0,4,Boina,hats/hat8.jpg,4,7,0,0,0,0,5,2,1,0,0,1,0,2,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,Striped Denim Shorts,Striped_Denim_Shorts/img_00000057.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,2
68,Baroque Print Crop Top,Baroque_Print_Crop_Top/img_00000058.jpg,1,7,1,3,3,4,2,3,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro Invierno,hats/hat6.jpg,4,5,0,0,0,0,6,1,1,1,0,0,0,4,Zapatos de trekking,shoes/shoes7.jpg,5,7,6,0,0,0,0,1,1,0,0,1,1,3,Floral Scuba Knit Skirt,Floral_Scuba_Knit_Skirt/img_00000003.jpg,6,2,1,3,3,4,3,3,0,0,0,1,1,4
69,Asymmetrical Flounce Tank,Asymmetrical_Flounce_Tank/img_00000004.jpg,1,5,6,3,3,1,3,2,0,0,1,1,1,4,Lace-Up Striped Baja Hoodie,Lace-Up_Striped_Baja_Hoodie/img_00000038.jpg,2,3,3,1,3,2,6,3,1,1,0,0,0,3,Marled Knit Combo Jacket,Marled_Knit_Combo_Jacket/img_00000018.jpg,3,3,6,1,3,2,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos de trekking,shoes/shoes7.jpg,5,7,6,0,0,0,0,1,1,0,0,1,1,3,Striped A-Line Skirt,Striped_A-Line_Skirt/img_00000070.jpg,6,2,6,3,3,4,3,3,0,0,1,1,1,3
70,Crew Neck Knit Tee,Crew_Neck_Knit_Tee/img_00000041.jpg,1,6,6,2,3,1,3,3,0,0,0,0,1,3,Shawl Collar Blazer,Shawl_Collar_Blazer/img_00000128.jpg,2,1,6,1,3,1,3,3,1,1,1,0,0,2,Longline Satin Jacket,Longline_Satin_Jacket/img_00000008.jpg,3,3,6,1,3,2,3,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatillas de deporte,shoes/shoes9.jpg,5,8,6,0,0,0,0,1,1,0,0,1,1,3,Contrast Waist Sweatpants,Contrast_Waist_Sweatpants/img_00000009.jpg,6,6,6,3,3,4,3,1,0,0,0,0,1,1
71,Stripe Print Surplice Blouse,Stripe_Print_Surplice_Blouse/img_00000042.jpg,1,1,2,3,3,2,3,3,0,0,0,0,1,3,No Way Boxy Hoodie,No_Way_Boxy_Hoodie/img_00000010.jpg,2,3,2,2,3,1,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro estilo safari,hats/hat3.jpg,4,3,6,0,0,0,0,2,0,0,0,0,1,2,Zapatos formales,shoes/new_shoes10.jpg,5,9,0,0,0,0,4,1,1,0,0,1,1,3,Faux Leather Grid Shorts,Faux_Leather_Grid_Shorts/img_00000047.jpg,6,4,6,3,3,4,4,3,0,0,0,0,1,2
72,Dotted Chiffon Blouse,Dotted_Chiffon_Blouse/img_00000089.jpg,1,1,2,1,3,2,2,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collarless Faux Fur Jacket,Collarless_Faux_Fur_Jacket/img_00000031.jpg,3,3,6,1,3,1,5,3,1,1,0,0,0,4,Jockey reggaeton,hats/hat12.jpg,4,10,0,0,0,0,0,1,1,0,0,1,1,2,Hawaianas,shoes/shoes6.jpg,5,6,6,0,0,0,0,2,0,0,1,1,1,3,Giraffe Print Shorts,Giraffe_Print_Shorts/img_00000009.jpg,6,4,2,3,3,4,3,3,0,0,0,1,1,2
73,Crochet-Back Tank,Crochet-Back_Tank/img_00000021.jpg,1,5,4,3,3,4,6,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Textured High-Waisted Shorts,Textured_High-Waisted_Shorts/img_00000053.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,5
74,Windowpane Print Blouse,Windowpane_Print_Blouse/img_00000068.jpg,1,1,7,1,3,1,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Life in Progress Hooded Denim Jacket,Life_in_Progress_Hooded_Denim_Jacket/img_00000005.jpg,3,3,6,1,3,1,1,3,0,0,1,0,0,1,Jockey,hats/hat10.jpg,4,8,0,0,0,0,5,1,0,0,0,1,1,4,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Basic Striped Mini Skirt,Basic_Striped_Mini_Skirt/img_00000047.jpg,6,2,3,3,3,4,3,1,0,0,1,0,0,5
75,Southwestern Pattern Trim Tee,Southwestern_Pattern_Trim_Tee/img_00000023.jpg,1,6,2,1,3,2,3,3,1,0,0,1,0,3,Longline Boyfriend Blazer,Longline_Boyfriend_Blazer/img_00000084.jpg,2,1,7,1,3,2,3,3,1,0,1,1,0,4,Faux Suede Fringe Jacket,Faux_Suede_Fringe_Jacket/img_00000040.jpg,3,3,6,3,3,4,4,1,0,0,0,1,1,2,Crochet,hats/hat7.jpg,4,6,0,0,0,0,6,1,1,1,0,0,0,4,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Buttoned High-Waisted Skinny Jeans,Buttoned_High-Waisted_Skinny_Jeans/img_00000074.jpg,6,8,6,3,3,4,1,1,1,0,1,1,1,4
76,Lace-Paneled Crepe Blouse,Lace-Paneled_Crepe_Blouse/img_00000054.jpg,1,1,4,1,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drapey Trench Jacket,Drapey_Trench_Jacket/img_00000073.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,2,Gorro estilo safari,hats/hat3.jpg,4,3,6,0,0,0,0,2,0,0,0,0,1,2,sneakers,shoes/shoes1.jpg,5,1,6,0,0,0,4,3,1,0,1,1,1,5,Striped Midi Skirt,Striped_Midi_Skirt/img_00000042.jpg,6,2,3,3,3,4,3,3,0,0,0,0,1,4
77,Micro-Striped Tank,Micro-Striped_Tank/img_00000042.jpg,1,5,3,3,3,4,3,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bototos,shoes/shoes4.jpg,5,4,6,0,0,0,4,1,1,1,1,0,0,4,Quilted Faux Leather Trim Skirt,Quilted_Faux_Leather_Trim_Skirt/img_00000001.jpg,6,2,6,3,3,4,3,3,0,0,0,0,1,2
78,Tartan Plaid Cuffed-Sleeve Tee,Tartan_Plaid_Cuffed-Sleeve_Tee/img_00000050.jpg,1,6,6,1,3,2,2,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hooded Denim Jacket,Hooded_Denim_Jacket/img_00000020.jpg,3,3,6,1,3,2,1,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Baroque Print Woven Joggers,Baroque_Print_Woven_Joggers/img_00000016.jpg,6,10,1,3,3,4,3,3,1,1,1,1,1,5
79,Buttoned Collarless Blouse,Buttoned_Collarless_Blouse/img_00000112.jpg,1,1,6,2,3,1,3,3,1,0,1,1,1,5,Crochet Cable Knit Sweater,Crochet_Cable_Knit_Sweater/img_00000063.jpg,2,5,6,1,3,1,6,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro Invierno,hats/hat6.jpg,4,5,0,0,0,0,6,1,1,1,0,0,0,4,Hawaianas,shoes/shoes6.jpg,5,6,6,0,0,0,0,2,0,0,1,1,1,3,High-Rise Denim Shorts,High-Rise_Denim_Shorts/img_00000053.jpg,6,4,6,3,3,4,1,3,0,0,0,1,1,2
80,Destroyed Tee,Destroyed_Tee/img_00000023.jpg,1,6,2,2,3,1,3,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collared Drawstring Jacket,Collared_Drawstring_Jacket/img_00000016.jpg,3,3,6,1,3,2,3,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mocasines,shoes/shoes12.jpg,5,10,0,0,0,0,4,3,1,0,0,1,1,2,Striped A-Line Skirt,Striped_A-Line_Skirt/img_00000067.jpg,6,2,3,3,3,4,3,3,0,0,0,1,1,4
81,Chiffon Twist-Front Top,Chiffon_Twist-Front_Top/img_00000025.jpg,1,7,6,1,3,2,3,1,0,0,0,1,0,5,Easy Open-Knit Cardigan,Easy_Open-Knit_Cardigan/img_00000014.jpg,2,2,6,1,3,1,6,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Converse,shoes/shoes13.jpg,5,11,0,0,0,0,4,3,1,0,0,1,1,5,Pleated A-Line Mini Skirt,Pleated_A-Line_Mini_Skirt/img_00000014.jpg,6,2,6,3,3,4,3,3,0,0,0,1,1,5
82,Pleated Floral Print Blouse,Pleated_Floral_Print_Blouse/img_00000002.jpg,1,1,2,3,3,2,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro Invierno,hats/hat6.jpg,4,5,0,0,0,0,6,1,1,1,0,0,0,4,Zapatos de trekking,shoes/shoes7.jpg,5,7,6,0,0,0,0,1,1,0,0,1,1,3,Sandstone Ikat Joggers,Sandstone_Ikat_Joggers/img_00000014.jpg,6,10,2,3,3,4,3,3,0,0,0,1,0,1
83,Marled Twist-Front Blouse,Marled_Twist-Front_Blouse/img_00000053.jpg,1,1,6,1,2,2,2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorro Invierno,hats/hat6.jpg,4,5,0,0,0,0,6,1,1,1,0,0,0,4,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,Chiffon Suspender Midi Skirt,Chiffon_Suspender_Midi_Skirt/img_00000004.jpg,6,2,6,3,1,4,3,2,0,0,0,1,1,3
84,Elephant Graphic Burnout Tank,Elephant_Graphic_Burnout_Tank/img_00000020.jpg,1,5,2,2,3,1,3,3,0,0,0,1,1,1,Heathered Cities Graphic Hoodie,Heathered_Cities_Graphic_Hoodie/img_00000015.jpg,2,3,2,1,3,1,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans,shoes/shoes2.jpg,5,2,6,0,0,0,4,3,1,0,1,1,1,5,Fold-Over Capri Leggings,Fold-Over_Capri_Leggings/img_00000018.jpg,6,3,6,3,3,4,3,1,1,0,0,1,1,3
85,Distressed Ghostbusters Muscle Tank,Distressed_Ghostbusters_Muscle_Tank/img_00000023.jpg,1,5,2,3,3,1,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zip Collar Bomber,Zip_Collar_Bomber/img_00000105.jpg,3,2,6,1,3,2,3,3,1,0,0,0,0,4,Sombrero bucket,hats/hat4.jpg,4,2,7,0,0,0,0,2,0,0,0,1,1,4,Hawaianas,shoes/shoes6.jpg,5,6,6,0,0,0,0,2,0,0,1,1,1,3,High-Waisted Rose Print Shorts,High-Waisted_Rose_Print_Shorts/img_00000036.jpg,6,4,1,3,3,4,3,3,0,0,1,1,1,3
86,Swiss Dot Crochet Tank,Swiss_Dot_Crochet_Tank/img_00000016.jpg,1,5,4,3,3,1,6,3,0,0,0,1,1,2,Textured Shawl Collar Cardigan,Textured_Shawl_Collar_Cardigan/img_00000041.jpg,2,2,6,1,3,2,6,3,1,0,1,1,0,3,Life in Progress Denim Jacket,Life_in_Progress_Denim_Jacket/img_00000039.jpg,3,3,6,1,3,1,1,3,1,1,1,1,1,5,Beany,hats/hat11.jpg,4,9,6,0,0,0,6,1,1,1,0,0,0,4,Zapatos formales,shoes/new_shoes10.jpg,5,9,0,0,0,0,4,1,1,0,0,1,1,3,Darling Dots Denim Shorts,Darling_Dots_Denim_Shorts/img_00000025.jpg,6,4,2,3,3,4,3,1,0,0,0,0,1,4
87,Colorblocked Hooded Knit Henley,Colorblocked_Hooded_Knit_Henley/img_00000037.jpg,1,4,6,1,3,2,3,3,1,1,1,1,0,5,Tribal Print Woven Cardigan,Tribal_Print_Woven_Cardigan/img_00000055.jpg,2,2,2,1,3,4,6,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zapatos formales,shoes/new_shoes11.jpg,5,9,0,0,0,0,4,0,1,0,0,1,1,3,Acid Wash Jeggings,Acid_Wash_Jeggings/img_00000053.jpg,6,9,6,3,3,4,1,1,0,0,1,1,0,2
88,Ornate Print Tank,Ornate_Print_Tank/img_00000031.jpg,1,5,2,3,3,4,3,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Embroidered Mesh Bomber Jacket,Embroidered_Mesh_Bomber_Jacket/img_00000007.jpg,3,3,6,1,3,1,6,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans,shoes/shoes2.jpg,5,2,6,0,0,0,4,3,1,0,1,1,1,5,Velveteen Paisley Skinny Jeans,Velveteen_Paisley_Skinny_Jeans/img_00000034.jpg,6,8,1,3,3,4,3,3,1,1,1,1,1,4
89,Grumpy Cat Graphic Tee,Grumpy_Cat_Graphic_Tee/img_00000038.jpg,1,6,2,2,3,1,3,3,0,0,0,1,1,5,Dip-Dye Sweater,Dip-Dye_Sweater/img_00000019.jpg,2,5,6,1,3,1,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botas de agua,shoes/shoes3.jpg,5,3,6,0,0,0,0,2,1,1,0,0,0,3,Classic Twill Chinos,Classic_Twill_Chinos/img_00000044.jpg,6,5,6,3,3,4,3,3,1,1,0,1,0,4
