name,img_route,cloth_category,cloth_subcategory,patron,sleeve,skirt,neckline,material,fit,isCold,isRainy,isWet,isTempered,isHot,nota
188,Easy Open-Knit Sweater,Easy_Open-Knit_Sweater/img_00000005.jpg,2,5,6,1,3,4,6,3,0,0,0,1,1,5
191,Cloud Wash Distressed Cutoffs,Cloud_Wash_Distressed_Cutoffs/img_00000025.jpg,6,1,2,3,3,4,1,3,0,0,0,1,1,5
215,Faux Fur Bomber Jacket,Faux_Fur_Bomber_Jacket/img_00000012.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,3
217,Crew Neck Fisherman Sweater,Crew_Neck_Fisherman_Sweater/img_00000005.jpg,2,5,6,1,3,1,6,3,1,0,0,1,0,4
220,Zigzag Pocket Tee,Zigzag_Pocket_Tee/img_00000015.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,4
230,Fluted Polka Dot Skirt,Fluted_Polka_Dot_Skirt/img_00000032.jpg,6,2,6,3,3,4,3,3,0,0,0,1,1,3
238,Linen Chambray Shorts,Linen_Chambray_Shorts/img_00000029.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,5
241,Zippered Bomber Jacket,Zippered_Bomber_Jacket/img_00000062.jpg,3,3,6,1,3,1,3,3,1,0,1,0,0,3
259,Polka Dot-Pocket Cutoffs,Polka_Dot-Pocket_Cutoffs/img_00000021.jpg,6,1,2,1,3,2,2,3,0,0,0,1,0,4
265,Asymmetrical Open-Front Blazer,Asymmetrical_Open-Front_Blazer/img_00000086.jpg,2,1,6,1,3,4,3,3,1,0,0,1,0,4
266,Stretch Knit Tank,Stretch_Knit_Tank/img_00000003.jpg,1,5,6,3,3,4,3,1,0,0,0,1,1,5
290,Hooded Canvas Utility Jacket,Hooded_Canvas_Utility_Jacket/img_00000033.jpg,3,3,6,1,3,2,3,3,1,0,0,1,0,4
310,Classic Cuffed Blazer,Classic_Cuffed_Blazer/img_00000008.jpg,2,1,6,1,3,2,3,3,0,0,0,1,1,3
311,Pleated Drawstring Chinos,Pleated_Drawstring_Chinos/img_00000033.jpg,6,5,6,3,3,4,3,3,1,0,1,1,0,3
317,Contrast Waist Sweatpants,Contrast_Waist_Sweatpants/img_00000009.jpg,6,6,6,3,3,4,3,1,0,0,0,0,1,1
332,Heathered Tulip-Back Tank,Heathered_Tulip-Back_Tank/img_00000020.jpg,1,5,6,2,3,1,3,3,0,0,0,1,1,3
333,Tasseled-Hem Floral Shorts,Tasseled-Hem_Floral_Shorts/img_00000040.jpg,6,4,1,3,3,4,3,3,0,0,0,1,1,5
344,Marled Knit Drawstring Shorts,Marled_Knit_Drawstring_Shorts/img_00000016.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
350,Chunky Knit Sweater,Chunky_Knit_Sweater/img_00000070.jpg,2,5,6,2,3,1,6,2,1,1,1,0,0,4
379,Belted Lace Trim Shorts,Belted_Lace_Trim_Shorts/img_00000005.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,5
394,Flutter Sleeve Blouse,Flutter_Sleeve_Blouse/img_00000045.jpg,1,1,6,2,3,1,2,3,0,0,0,1,1,5
403,Eyelash Lace Maxi Cardigan,Eyelash_Lace_Maxi_Cardigan/img_00000010.jpg,2,2,6,3,1,4,2,3,0,0,0,1,1,2
405,Striped Floral Blouse,Striped_Floral_Blouse/img_00000007.jpg,1,1,1,1,3,1,3,3,0,0,0,1,1,1
426,Slub Knit Cutout Tee,Slub_Knit_Cutout_Tee/img_00000012.jpg,1,6,6,2,3,1,3,3,0,0,1,1,1,4
431,Heathered Scuba Knit Shorts,Heathered_Scuba_Knit_Shorts/img_00000020.jpg,6,4,6,3,3,4,3,1,0,0,0,1,1,3
435,V-Neck Cardigan,V-Neck_Cardigan/img_00000041.jpg,2,2,6,1,3,2,6,3,1,0,0,1,0,3
436,Stretch Knit Tank,Stretch_Knit_Tank/img_00000009.jpg,1,5,6,3,3,4,3,3,0,0,0,0,1,5
437,Twisted Open-Back Tee,Twisted_Open-Back_Tee/img_00000011.jpg,1,6,2,3,3,1,3,3,0,0,0,1,1,1
449,Ruffled Trim Sweater,Ruffled_Trim_Sweater/img_00000023.jpg,2,5,6,2,3,2,3,3,1,0,0,1,0,3
453,Waffle-Sleeve Raglan Sweater,Waffle-Sleeve_Raglan_Sweater/img_00000035.jpg,2,5,6,1,3,2,6,3,1,0,0,1,0,4
458,Structured Quilted Jacket,Structured_Quilted_Jacket/img_00000031.jpg,3,3,6,1,3,2,3,3,1,1,0,0,0,4
461,High-Waisted Leggings,High-Waisted_Leggings/img_00000006.jpg,6,3,6,3,3,4,3,1,1,1,1,1,1,1
478,Cropped Striped Hoodie,Cropped_Striped_Hoodie/img_00000026.jpg,2,3,6,1,3,4,3,3,0,0,0,1,0,4
482,Desert Trim Bomber Jacket,Desert_Trim_Bomber_Jacket/img_00000036.jpg,3,3,6,1,3,1,3,3,1,0,1,0,0,3
492,Reason Baroque Graphic Tee,Reason_Baroque_Graphic_Tee/img_00000005.jpg,1,6,2,2,3,1,3,3,0,0,0,1,1,3
494,Stripe Pencil Skirt,Stripe_Pencil_Skirt/img_00000018.jpg,6,2,3,3,3,4,3,1,0,0,0,0,1,2
518,Hooded Asymmetrical Longline Jacket,Hooded_Asymmetrical_Longline_Jacket/img_00000019.jpg,3,3,6,3,3,2,3,3,1,0,0,0,0,1
529,American Flag Sweater,American_Flag_Sweater/img_00000049.jpg,2,5,2,1,3,1,6,3,1,1,0,0,0,1
535,Zip-Front Hoodie,Zip-Front_Hoodie/img_00000082.jpg,2,3,6,1,3,2,3,3,1,1,1,1,0,5
545,Faux Leather Moto Jacket,Faux_Leather_Moto_Jacket/img_00000039.jpg,3,3,6,1,3,2,4,3,0,1,1,0,0,4
558,Clean Wash Overall Shorts,Clean_Wash_Overall_Shorts/img_00000007.jpg,6,4,6,3,3,4,1,3,0,0,0,0,1,3
564,Striped Marled Knit Cardigan,Striped_Marled_Knit_Cardigan/img_00000032.jpg,2,2,1,1,3,4,6,2,1,1,0,0,0,1
567,Swiss Dot Crochet Tank,Swiss_Dot_Crochet_Tank/img_00000016.jpg,1,5,4,3,3,1,6,3,0,0,0,1,1,2
575,Time To Shine Tee,Time_To_Shine_Tee/img_00000022.jpg,1,6,2,3,3,1,3,3,0,0,0,1,1,4
589,Abstract Asymmetrical Hem Top,Abstract_Asymmetrical_Hem_Top/img_00000019.jpg,1,7,1,3,3,2,2,3,0,0,0,1,1,3
591,Tupac Graphic Tee,Tupac_Graphic_Tee/img_00000053.jpg,1,6,2,2,3,1,3,3,0,0,0,1,1,2
601,Textured Open-Knit Sweater,Textured_Open-Knit_Sweater/img_00000040.jpg,2,5,6,1,3,1,6,3,1,1,0,0,0,1
603,Tropical Floral Leggings,Tropical_Floral_Leggings/img_00000031.jpg,6,3,1,3,3,4,3,2,0,0,0,1,1,3
606,Marled Knit Drawstring Sweatpants,Marled_Knit_Drawstring_Sweatpants/img_00000006.jpg,6,6,6,3,3,4,3,3,1,1,1,1,1,4
615,Low-Rise Denim Cutoffs,Low-Rise_Denim_Cutoffs/img_00000061.jpg,6,1,6,3,3,4,1,3,0,0,0,1,1,5
618,Whale Print Tee,Whale_Print_Tee/img_00000031.jpg,1,6,2,3,3,1,3,3,0,0,0,0,1,1
619,Speckled Geo-Patterned Sweater,Speckled_Geo-Patterned_Sweater/img_00000015.jpg,2,5,2,2,3,1,3,3,0,0,0,1,1,5
634,Snap Collar Moto Jacket,Snap_Collar_Moto_Jacket/img_00000071.jpg,3,3,6,1,3,2,4,3,1,1,0,0,0,3
635,Sheer Woven Blouse,Sheer_Woven_Blouse/img_00000076.jpg,1,1,6,1,3,1,3,3,1,0,0,0,0,1
642,Burnout Geo Pattern Top,Burnout_Geo_Pattern_Top/img_00000040.jpg,1,7,4,1,3,1,3,3,0,0,1,1,0,5
645,Leaf Print Blouse,Leaf_Print_Blouse/img_00000027.jpg,1,1,1,2,3,1,3,3,0,0,0,0,1,1
651,Varsity-Striped Scuba Knit Jacket,Varsity-Striped_Scuba_Knit_Jacket/img_00000031.jpg,3,3,6,1,3,1,3,3,1,1,1,1,0,1
662,Striped A-Line Skirt,Striped_A-Line_Skirt/img_00000070.jpg,6,2,6,3,3,4,3,3,0,0,1,1,1,3
667,Heathered Cuffed Sweatshorts,Heathered_Cuffed_Sweatshorts/img_00000048.jpg,6,7,6,3,3,4,3,3,1,1,1,1,0,4
672,Classic Oxford Shorts,Classic_Oxford_Shorts/img_00000051.jpg,6,4,6,3,3,4,3,3,1,1,0,1,0,4
675,Easy Heathered Dolman Cardigan,Easy_Heathered_Dolman_Cardigan/img_00000037.jpg,2,2,6,2,3,1,3,3,0,0,0,0,1,2
687,Textured Baroque Floral Shorts,Textured_Baroque_Floral_Shorts/img_00000014.jpg,6,4,1,3,3,4,3,3,0,0,0,0,1,4
692,Favorite Ankle-Length Skinny Jeans,Favorite_Ankle-Length_Skinny_Jeans/img_00000061.jpg,6,8,6,3,3,4,1,1,1,1,1,1,1,5
705,Embroidered High-Neck Blouse,Embroidered_High-Neck_Blouse/img_00000068.jpg,1,1,6,1,3,1,2,3,0,0,1,0,0,2
708,Classic Faded Denim Jacket,Classic_Faded_Denim_Jacket/img_00000003.jpg,3,3,6,1,3,1,1,3,0,0,1,1,1,5
723,Lemon Print Shorts,Lemon_Print_Shorts/img_00000010.jpg,6,4,6,3,3,4,1,3,0,0,0,1,1,3
725,Paris Graphic Tee,Paris_Graphic_Tee/img_00000015.jpg,1,6,2,2,3,1,3,3,0,0,0,1,1,3
726,American Flag Sweater,American_Flag_Sweater/img_00000039.jpg,2,5,2,1,3,1,6,3,1,0,0,0,0,1
730,Boxy Texture-Striped Tee,Boxy_Texture-Striped_Tee/img_00000043.jpg,1,6,3,2,3,1,3,3,1,1,1,1,1,3
733,Bike Print Tee,Bike_Print_Tee/img_00000037.jpg,1,6,3,2,3,1,3,3,0,0,0,1,1,1
740,Classic Knit Skater Skirt,Classic_Knit_Skater_Skirt/img_00000039.jpg,6,2,7,3,2,4,3,3,0,0,0,0,1,4
753,Tie-Dye Hoodie,Tie-Dye_Hoodie/img_00000048.jpg,2,3,1,1,3,1,3,3,1,1,1,1,0,2
764,EPTM. Tribal Print Track Jacket,EPTM._Tribal_Print_Track_Jacket/img_00000037.jpg,3,3,2,1,3,2,3,3,1,0,1,1,0,5
765,Structured Mesh Skater Skirt,Structured_Mesh_Skater_Skirt/img_00000003.jpg,6,2,3,3,3,4,2,3,0,0,0,1,1,3
786,Pintuck-Paneled Blouse,Pintuck-Paneled_Blouse/img_00000003.jpg,1,1,6,3,3,2,2,3,0,0,1,1,1,4
796,V-Neck Tee,V-Neck_Tee/img_00000010.jpg,1,6,6,2,3,2,3,3,0,0,0,0,1,4
797,Mixed Stripe Shorts,Mixed_Stripe_Shorts/img_00000028.jpg,6,4,2,3,3,4,3,3,0,0,0,1,1,4
800,Linen Racerback Tank,Linen_Racerback_Tank/img_00000056.jpg,1,5,6,3,3,4,6,3,0,0,0,1,1,5
805,Tie-Dyed Tank,Tie-Dyed_Tank/img_00000038.jpg,1,5,1,3,3,1,3,3,0,0,1,1,1,1
806,Classic Mid-Rise Shorts,Classic_Mid-Rise_Shorts/img_00000029.jpg,6,4,6,3,3,4,1,3,0,0,0,1,1,5
828,Faux Leather Flared Skirt,Faux_Leather_Flared_Skirt/img_00000018.jpg,6,2,6,3,3,4,4,3,0,0,0,0,1,3
831,Cotton Twill Drawstring Shorts,Cotton_Twill_Drawstring_Shorts/img_00000037.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
850,Metallic Knit Shorts,Metallic_Knit_Shorts/img_00000019.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,2
866,Classic Turtleneck Sweater,Classic_Turtleneck_Sweater/img_00000058.jpg,2,5,6,1,3,1,6,3,1,0,0,1,0,4
870,Abstract Print Panel Top,Abstract_Print_Panel_Top/img_00000026.jpg,1,7,2,2,3,1,3,3,0,0,0,1,1,1
878,Pleated Tribal Print Skirt,Pleated_Tribal_Print_Skirt/img_00000005.jpg,6,2,2,3,3,4,3,3,0,0,0,1,1,2
892,Heathered Tank,Heathered_Tank/img_00000012.jpg,1,5,6,3,3,1,3,3,0,0,0,1,1,3
895,Dallas Denim Jacket,Dallas_Denim_Jacket/img_00000004.jpg,3,3,6,1,3,1,1,3,1,1,0,0,0,2
904,Running Seams Workout Leggings,Running_Seams_Workout_Leggings/img_00000024.jpg,6,3,6,3,3,4,3,1,0,0,0,0,1,1
919,Flared Jeans,Flared_Jeans/img_00000014.jpg,6,8,6,3,3,4,1,3,0,0,0,0,1,1
922,Textured Boyfriend Blazer,Textured_Boyfriend_Blazer/img_00000063.jpg,2,1,7,1,3,2,3,3,0,0,0,1,1,2
926,Tassel-Trimmed Shorts,Tassel-Trimmed_Shorts/img_00000030.jpg,6,4,3,3,3,4,3,3,0,0,0,1,1,1
931,Boxy Multi-Striped Tee,Boxy_Multi-Striped_Tee/img_00000022.jpg,1,6,3,2,3,1,3,3,0,0,0,1,1,2
934,Abstract Print Maxi Skirt,Abstract_Print_Maxi_Skirt/img_00000022.jpg,6,2,3,3,3,4,2,3,0,0,1,1,1,3
953,Get Cray Muscle Tee,Get_Cray_Muscle_Tee/img_00000005.jpg,1,6,2,3,3,1,3,3,0,0,0,0,1,3
969,Amour Peplum Top,Amour_Peplum_Top/img_00000049.jpg,1,7,6,2,3,1,2,3,0,0,0,1,1,3
972,Polka Dot Tee,Polka_Dot_Tee/img_00000062.jpg,1,6,6,2,3,2,3,3,0,0,0,1,0,4
975,Cacti Print Tee,Cacti_Print_Tee/img_00000010.jpg,1,6,2,2,3,1,3,3,0,0,0,0,1,1
977,Sheer Woven Blouse,Sheer_Woven_Blouse/img_00000023.jpg,1,1,6,1,3,1,2,3,0,0,0,1,0,3
978,Abstract Mandala Print Skirt,Abstract_Mandala_Print_Skirt/img_00000016.jpg,6,2,1,3,3,4,3,2,0,0,0,0,1,2
986,Woven Pencil Skirt,Woven_Pencil_Skirt/img_00000041.jpg,6,2,2,3,3,4,3,1,0,0,0,0,1,1
1000,Pleated Textured Skirt,Pleated_Textured_Skirt/img_00000030.jpg,6,2,5,3,3,4,3,3,0,0,0,1,1,2
1014,High-Rise Skinny Jeans,High-Rise_Skinny_Jeans/img_00000009.jpg,6,8,6,3,3,4,1,1,0,0,1,0,0,2
1024,Raw-Cut Fringe Tee,Raw-Cut_Fringe_Tee/img_00000002.jpg,1,6,6,3,3,4,3,3,0,0,0,1,1,4
1032,Colorblocked Tribal Print Blouse,Colorblocked_Tribal_Print_Blouse/img_00000106.jpg,1,1,6,3,3,2,3,3,0,0,1,1,1,2
1043,Pleated Chiffon Skirt,Pleated_Chiffon_Skirt/img_00000053.jpg,6,2,6,3,3,4,2,3,0,0,0,1,0,2
1047,Striped Waffle Knit Sweater,Striped_Waffle_Knit_Sweater/img_00000009.jpg,2,5,3,1,3,2,6,3,1,1,0,0,0,3
1061,Colorblocked French Terry Hoodie,Colorblocked_French_Terry_Hoodie/img_00000049.jpg,2,3,1,1,3,1,3,3,1,0,0,1,0,4
1064,Chiffon Twist-Front Top,Chiffon_Twist-Front_Top/img_00000027.jpg,1,7,2,2,3,1,3,3,0,0,0,0,1,3
1073,Fringed Open-Front Cardigan,Fringed_Open-Front_Cardigan/img_00000010.jpg,2,2,6,1,3,4,6,2,0,0,0,1,0,4
1105,Brushed Knit Fringe Top,Brushed_Knit_Fringe_Top/img_00000002.jpg,1,7,6,1,3,1,3,2,1,0,0,1,0,4
1106,Textured Maxi Cardigan,Textured_Maxi_Cardigan/img_00000026.jpg,2,2,3,1,3,1,6,3,1,0,0,1,0,4
1116,Snake Print Racerback Tank,Snake_Print_Racerback_Tank/img_00000027.jpg,1,5,2,3,3,4,3,1,0,0,0,0,1,1
1118,High-Waisted Denim Pencil Skirt,High-Waisted_Denim_Pencil_Skirt/img_00000010.jpg,6,2,6,3,3,4,1,1,0,0,0,1,1,2
1122,High-Waisted Plaid Shorts,High-Waisted_Plaid_Shorts/img_00000006.jpg,6,4,7,3,3,4,3,3,0,0,0,0,1,3
1125,High-Waisted Woven Shorts,High-Waisted_Woven_Shorts/img_00000053.jpg,6,4,1,3,3,4,3,3,0,0,0,1,1,3
1130,Distressed Cropped Jeans,Distressed_Cropped_Jeans/img_00000067.jpg,6,8,6,3,3,4,1,3,0,0,1,1,0,5
1158,Textured High-Neck Blouse,Textured_High-Neck_Blouse/img_00000055.jpg,1,1,6,1,3,1,3,3,1,1,0,1,0,5
1159,Faded Denim Jacket,Faded_Denim_Jacket/img_00000034.jpg,3,3,6,1,3,1,1,3,0,0,0,1,1,1
1170,Cable Knit Cardigan,Cable_Knit_Cardigan/img_00000002.jpg,2,2,6,1,3,2,6,3,1,1,1,1,0,3
1171,Boxy Embroidered Top,Boxy_Embroidered_Top/img_00000010.jpg,1,7,4,2,2,1,3,3,0,0,0,1,1,2
1190,Striped Tulip-Front Shorts,Striped_Tulip-Front_Shorts/img_00000013.jpg,6,4,3,3,3,4,3,1,0,0,0,0,1,3
1192,Heart Printed Tie-Neck Blouse,Heart_Printed_Tie-Neck_Blouse/img_00000045.jpg,1,1,6,1,3,2,2,3,0,0,0,1,1,1
1194,Control Sector Striped Cotton-Blend Shorts,Control_Sector_Striped_Cotton-Blend_Shorts/img_00000014.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,4
1213,Linen-Blend Shorts,Linen-Blend_Shorts/img_00000052.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,4
1215,Camera Grid Muscle Tee,Camera_Grid_Muscle_Tee/img_00000026.jpg,1,6,2,3,3,1,3,2,0,0,0,1,1,3
1216,Life in Progress Boxy Denim Jacket,Life_in_Progress_Boxy_Denim_Jacket/img_00000021.jpg,3,3,6,1,3,1,3,3,0,0,1,1,1,4
1236,Striped Seersucker Shorts,Striped_Seersucker_Shorts/img_00000069.jpg,6,4,3,3,3,4,3,3,0,0,0,1,1,2
1261,Heathered Scuba Knit Bomber Jacket,Heathered_Scuba_Knit_Bomber_Jacket/img_00000018.jpg,3,3,6,1,3,2,3,3,1,0,0,1,0,3
1279,Mixed Paisley Print Maxi Skirt,Mixed_Paisley_Print_Maxi_Skirt/img_00000015.jpg,6,2,1,3,3,4,3,1,0,0,0,0,1,3
1284,Classic Bike Shorts,Classic_Bike_Shorts/img_00000019.jpg,6,4,6,3,3,4,3,1,0,0,0,1,1,1
1287,Faux Leather Biker Jacket,Faux_Leather_Biker_Jacket/img_00000019.jpg,3,3,6,1,3,2,4,3,1,1,1,1,0,5
1295,Distressed Skinny Jeans,Distressed_Skinny_Jeans/img_00000010.jpg,6,8,6,3,3,4,1,1,1,1,0,1,0,5
1299,Clean Wash - Skinny Jeans,Clean_Wash_-_Skinny_Jeans/img_00000012.jpg,6,8,6,3,3,4,1,3,1,0,0,1,1,4
1302,Striped Twist-Front Blouse,Striped_Twist-Front_Blouse/img_00000056.jpg,1,1,3,1,3,1,3,3,0,0,0,1,0,3
1330,Fox Print Tee,Fox_Print_Tee/img_00000005.jpg,1,6,2,1,3,1,3,3,0,0,0,1,1,5
1333,Prairie-Embroidered Peplum Blouse,Prairie-Embroidered_Peplum_Blouse/img_00000060.jpg,1,1,6,1,3,1,3,3,0,0,0,1,1,3
1351,French Terry Shorts,French_Terry_Shorts/img_00000029.jpg,6,4,6,3,3,4,3,3,1,0,0,1,0,4
1377,Striped Muscle Tee,Striped_Muscle_Tee/img_00000011.jpg,1,6,3,3,3,1,3,3,0,0,0,1,1,3
1380,Dolphin Hem Blouse,Dolphin_Hem_Blouse/img_00000076.jpg,1,1,6,1,3,1,3,3,1,0,0,1,0,4
1388,Zip-Pocket Woven Shorts,Zip-Pocket_Woven_Shorts/img_00000031.jpg,6,4,6,3,3,4,3,3,0,0,0,0,1,1
1405,Linen Chiffon Tee,Linen_Chiffon_Tee/img_00000003.jpg,1,6,6,2,3,1,3,3,0,0,0,1,1,4
1416,Woven Leggings,Woven_Leggings/img_00000010.jpg,6,3,6,3,3,4,3,1,1,1,1,1,1,4
1417,Cable Knit Cardigan,Cable_Knit_Cardigan/img_00000032.jpg,2,2,6,1,3,1,6,3,1,1,0,0,0,2
1429,Boxy Embroidered Top,Boxy_Embroidered_Top/img_00000044.jpg,1,7,6,2,3,1,2,3,0,0,0,1,1,5
1437,Clean Wash - Skinny Jeans,Clean_Wash_-_Skinny_Jeans/img_00000022.jpg,6,8,6,3,3,4,1,3,1,1,1,1,1,5
1438,Scalloped Crochet-Hem Shorts,Scalloped_Crochet-Hem_Shorts/img_00000057.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,5
1441,Beaded Cutout Top,Beaded_Cutout_Top/img_00000047.jpg,1,7,1,3,1,1,2,1,0,0,0,0,1,5
1446,Heathered Knit V-Neck Tee,Heathered_Knit_V-Neck_Tee/img_00000026.jpg,1,6,6,1,3,1,3,3,1,0,0,0,0,2
1448,Striped Twist-Front Blouse,Striped_Twist-Front_Blouse/img_00000044.jpg,1,1,6,1,3,1,3,3,1,0,0,1,0,4
1452,Low-Rise Skinny Jeans,Low-Rise_Skinny_Jeans/img_00000054.jpg,6,8,6,3,3,4,1,1,1,0,0,1,0,5
1460,Heathered Dolman Sweater,Heathered_Dolman_Sweater/img_00000015.jpg,2,5,6,1,3,1,3,3,1,0,0,1,0,4
1464,Trouser Shorts,Trouser_Shorts/img_00000024.jpg,6,4,6,3,3,4,3,3,0,0,0,1,1,3
1472,Basquiat Graphic Baseball Tee,Basquiat_Graphic_Baseball_Tee/img_00000031.jpg,1,6,6,1,3,1,3,3,0,0,1,0,0,2
1475,Bleach-Splatter Oversized Tee,Bleach-Splatter_Oversized_Tee/img_00000017.jpg,1,6,1,3,3,4,2,2,0,0,0,0,1,4
1490,Ruffled Crepe Woven Blouse,Ruffled_Crepe_Woven_Blouse/img_00000028.jpg,1,1,6,3,3,2,3,3,0,0,0,0,1,1
1491,Quilted Bomber Jacket,Quilted_Bomber_Jacket/img_00000029.jpg,3,3,6,1,3,1,3,3,1,1,1,0,0,4
1497,Collarless Draped-Front Blazer,Collarless_Draped-Front_Blazer/img_00000004.jpg,2,1,5,3,3,4,2,3,0,0,0,1,1,3
1506,Mesh-Paneled Sweatpants,Mesh-Paneled_Sweatpants/img_00000040.jpg,6,6,6,3,3,4,3,3,1,0,0,0,0,2
1508,Mandarin Collar Pocket Blouse,Mandarin_Collar_Pocket_Blouse/img_00000007.jpg,1,1,6,3,3,2,3,3,0,0,0,0,1,4
1509,Classic Dolman Top,Classic_Dolman_Top/img_00000063.jpg,1,7,3,1,3,1,3,3,0,0,0,1,1,5
1519,Braided Racerback Athletic Tank,Braided_Racerback_Athletic_Tank/img_00000031.jpg,1,5,2,3,3,1,3,3,0,0,0,1,1,4
1526,Faux Leather Pencil Skirt,Faux_Leather_Pencil_Skirt/img_00000057.jpg,6,2,6,3,3,4,4,1,0,0,0,1,1,3
1533,Floral Paisley Crochet Jacket,Floral_Paisley_Crochet_Jacket/img_00000041.jpg,3,3,4,3,3,4,6,3,0,0,0,1,1,4
1534,Textured Bow-Front Blouse,Textured_Bow-Front_Blouse/img_00000031.jpg,1,1,1,3,3,2,3,3,1,0,0,0,0,1
1543,Knit Skater Skirt,Knit_Skater_Skirt/img_00000053.jpg,6,2,2,3,3,4,3,3,0,0,0,1,1,4
1559,Eyelash Lace Trim Blouse,Eyelash_Lace_Trim_Blouse/img_00000019.jpg,1,1,6,2,3,1,2,3,0,0,0,0,1,3
1563,Classic Skater Skirt,Classic_Skater_Skirt/img_00000026.jpg,6,2,6,3,3,4,3,3,0,0,0,1,1,5
1564,V-Neck Cardigan,V-Neck_Cardigan/img_00000006.jpg,2,2,6,1,3,2,6,3,1,0,1,0,0,5
1567,Floral Print Bomber Jacket,Floral_Print_Bomber_Jacket/img_00000025.jpg,3,3,1,1,3,1,3,3,1,1,0,1,1,1
1575,Faux Shearling Aviator Jacket,Faux_Shearling_Aviator_Jacket/img_00000052.jpg,3,3,6,1,3,1,4,3,1,1,1,0,0,1
1589,Fringed Open-Knit Poncho,Fringed_Open-Knit_Poncho/img_00000016.jpg,3,6,4,1,3,2,6,2,1,1,0,0,0,1
1596,Embroidered Mini Skirt,Embroidered_Mini_Skirt/img_00000012.jpg,6,2,4,3,3,4,3,3,0,0,0,1,1,3
1608,Open-Front Linen Blazer,Open-Front_Linen_Blazer/img_00000055.jpg,2,1,6,1,3,4,4,3,0,0,0,1,0,2
1611,Collarless Draped-Front Blazer,Collarless_Draped-Front_Blazer/img_00000094.jpg,2,1,6,1,3,1,5,3,0,0,0,1,0,3
1613,Textured Fisherman Sweater,Textured_Fisherman_Sweater/img_00000057.jpg,2,5,6,1,3,1,6,3,1,0,0,1,0,4
